"","Plotnummer","n_trees_2021","n_species_2021","n_ash_2021","height_mean_2021","height_median_2021","height_max_2021","height_min_2021","n_ets_new_2021","n_ets_old_2021","n_ets_total_2021","comment_2021","Zaun_2021","Ausschluss_2021","Rueckegasse_2021","n_trees_2022","n_species_2022","n_ash_2022","location","height_mean_2022","height_median_2022","height_max_2022","height_min_2022","n_ets_new_2022","n_ets_old_2022","n_ets_total_2022","comment_2022","Rueckegasse_2022","x","y","TSF","DSF","ISF","ets_2021_ratio","ets_2022_ratio","ETS_ratio","n_ash","n_trees","Zuwachs","ZuwachsBAh","ZuwachsGEs"
"1",8901,3,2,2,19,14,30,13,0,0,0,"",FALSE,FALSE,FALSE,3,2,2,"goe_pol",21,16,31,16,0,0,0,"",FALSE,27.2999494701086,71.6268904732732,0.05,0.04,0.06,0,0,0,2,3,1,NA,2
"2",8902,3,2,2,7.67,6,12,5,0,0,0,"",FALSE,FALSE,FALSE,9,2,7,"goe_pol",9.44,7,19,5,0,0,0,"",FALSE,22.4038354169998,70.653511455562,0.16,0.17,0.14,0,0,0,4.5,6,7,NA,4
"3",8903,7,2,6,7,7,12,4,0,0,0,"",FALSE,FALSE,FALSE,7,2,6,"goe_pol",10.29,10,17,7,0,0,0,"",FALSE,17.507721363891,69.6801324378507,0.19,0.21,0.17,0,0,0,6,7,3,NA,4
"4",8904,15,3,12,9,9,13,5,0,0,0,"",FALSE,FALSE,FALSE,16,4,11,"goe_pol",13.19,11,29,6,0,0,0,"",FALSE,12.6116073107821,68.7067534201394,0.12,0.1,0.15,0,0,0,11.5,15.5,7,NA,2.5
"5",8905,7,2,5,7.86,8,10,4,0,0,0,"",FALSE,FALSE,FALSE,7,2,5,"goe_pol",10.86,10,18,6,0,0,0,"",FALSE,7.71549325767329,67.7333744024282,0.16,0.13,0.2,0,0,0,5,7,5,NA,1.5
"6",8906,9,3,7,6.44,7,9,4,0,0,0,"",FALSE,FALSE,FALSE,8,2,7,"goe_pol",11,11.5,14,5,0,0,0,"",FALSE,2.81937920456446,66.7599953847169,0.23,0.2,0.27,0,0,0,7,8.5,5,NA,5
"7",8907,9,2,8,11.44,10,28,3,0,1,1,"",FALSE,FALSE,FALSE,8,2,7,"goe_pol",17.75,16.5,34,11,0,1,1,"",FALSE,3.83331568134702,62.0597258937325,0.26,0.25,0.28,0.125,0.142857142857143,0.133928571428571,7.5,8.5,6,NA,6
"8",8908,3,1,3,6,6,7,5,0,0,0,"",FALSE,FALSE,FALSE,5,1,5,"goe_pol",9.2,9,13,7,0,0,0,"",FALSE,8.72942973445586,63.0331049114437,0.23,0.27,0.16,0,0,0,4,4,6,NA,6
"9",8909,4,1,4,8,8,12,4,0,0,0,"",FALSE,FALSE,FALSE,4,1,4,"goe_pol",11,12.5,13,6,0,0,0,"",FALSE,13.6255437875647,64.006483929155,0.25,0.31,0.16,0,0,0,4,4,3,NA,3
"10",8910,16,1,16,8.88,7.5,17,4,0,0,0,"",FALSE,FALSE,FALSE,15,1,15,"goe_pol",11.2,9,20,6,0,0,0,"Baum 33 liegt im Plot",FALSE,18.5216578406735,64.9798629468662,0.08,0.08,0.07,0,0,0,15.5,15.5,3,NA,3
"11",8911,6,1,6,6.83,6.5,9,5,0,0,0,"",FALSE,FALSE,FALSE,7,1,7,"goe_pol",7.14,7,11,4,0,0,0,"",FALSE,23.4177718937823,65.9532419645775,0.15,0.15,0.16,0,0,0,6.5,6.5,1,NA,1
"12",8912,0,0,0,NA,NA,NA,NA,0,0,0,"Keine Bäume",FALSE,FALSE,FALSE,1,1,1,"goe_pol",8,8,8,8,0,0,0,"",FALSE,28.3138859468912,66.9266209822888,0.16,0.17,0.15,NA,0,NA,0.5,0.5,NA,NA,NA
"13",8913,5,1,5,8,9,11,4,0,0,0,"",FALSE,FALSE,FALSE,4,1,4,"goe_pol",8.75,9.5,12,4,0,0,0,"",FALSE,33.21,67.9,0.16,0.16,0.16,0,0,0,4.5,4.5,0.5,NA,0.5
"14",8914,17,2,15,9.24,10,18,4,0,0,0,"",FALSE,FALSE,FALSE,9,2,7,"goe_pol",11,11,18,5,5,0,5,"",FALSE,34.2239364767826,63.1997305090155,0.21,0.25,0.16,0,0.714285714285714,0.357142857142857,11,13,0,NA,0
"15",8915,0,0,0,NA,NA,NA,NA,0,0,0,"Keine Bäume",FALSE,FALSE,FALSE,0,0,0,"goe_pol",NA,NA,NA,NA,0,0,0,"keine Bäume",FALSE,29.3278224236737,62.2263514913043,0.26,0.32,0.18,NA,NA,NA,0,0,NA,NA,NA
"16",8916,4,2,3,7.5,7,13,3,0,0,0,"",FALSE,FALSE,FALSE,5,2,4,"goe_pol",8.8,9,13,3,0,0,0,"",FALSE,24.4317083705649,61.252972473593,0.2,0.22,0.17,0,0,0,3.5,4.5,2,0,4
"17",8917,16,1,16,11.5,9.5,24,5,0,0,0,"",FALSE,FALSE,FALSE,10,1,10,"goe_pol",13.3,13.5,20,7,0,0,0,"",FALSE,19.5355943174561,60.2795934558818,0.19,0.23,0.14,0,0,0,13,13,-3,NA,-3
"18",8918,5,2,3,19.4,17,35,8,0,0,0,"",FALSE,FALSE,FALSE,5,2,3,"goe_pol",29.4,26,62,10,0,0,0,"",FALSE,14.6394802643472,59.3062144381705,0.3,0.35,0.22,0,0,0,3,5,17,NA,7
"19",8919,21,2,18,11.33,8,22,4,1,0,1,"",FALSE,FALSE,FALSE,13,2,10,"goe_pol",12.38,10,21,7,0,0,0,"",FALSE,9.74336621123842,58.3328354204592,0.25,0.31,0.16,0.0555555555555556,0,0.0277777777777778,14,17,-3,NA,-3
"20",8920,17,3,15,17.88,12,80,4,1,0,1,"",FALSE,FALSE,FALSE,13,3,11,"goe_pol",21.92,14,100,6,1,0,1,"",FALSE,4.84725215812959,57.359456402748,0.3,0.39,0.16,0.0666666666666667,0.0909090909090909,0.0787878787878788,13,15,1,1,1
"21",8921,5,3,3,16.4,14,25,5,0,0,0,"",FALSE,FALSE,FALSE,4,3,2,"goe_pol",18.75,17,27,14,0,0,0,"",FALSE,5.86118863491215,52.6591869117635,0.28,0.28,0.27,0,0,0,2.5,4.5,-1.5,5,3
"22",8922,14,2,12,12.5,9,29,3,0,0,0,"",FALSE,FALSE,FALSE,9,1,9,"goe_pol",17,16,30,6,0,0,0,"",FALSE,10.757302688021,53.6325659294748,0.25,0.25,0.25,0,0,0,10.5,11.5,3,NA,2
"23",8923,15,2,14,21.93,22,36,8,0,0,0,"",FALSE,FALSE,FALSE,13,2,12,"goe_pol",27.77,29,43,5,0,0,0,"",FALSE,15.6534167411298,54.605944947186,0.3,0.34,0.25,0,0,0,13,14,7,NA,7
"24",8924,14,2,13,8.93,7,16,5,1,0,1,"",FALSE,FALSE,FALSE,12,2,10,"goe_pol",10.83,10,19,7,0,0,0,"",FALSE,20.5495307942386,55.5793239648973,0.28,0.33,0.21,0.0769230769230769,0,0.0384615384615385,11.5,13,1,3,0.5
"25",8925,10,2,9,8.8,8,14,5,0,0,0,"",FALSE,FALSE,FALSE,7,1,7,"goe_pol",10.43,9,17,8,0,0,0,"",FALSE,25.4456448473475,56.5527029826085,0.32,0.39,0.22,0,0,0,8,8.5,0,NA,2
"26",8926,1,1,1,7,7,7,7,0,0,0,"",FALSE,FALSE,FALSE,1,1,1,"goe_pol",9,9,9,9,0,0,0,"",FALSE,30.3417589004563,57.5260820003198,0.07,0.08,0.05,0,0,0,1,1,2,NA,2
"27",8927,8,4,5,9.25,5.5,20,3,0,0,0,"",FALSE,FALSE,FALSE,6,3,4,"goe_pol",12.17,10.5,25,4,0,0,0,"",FALSE,35.2378729535651,58.4994610180311,0.25,0.31,0.16,0,0,0,4.5,7,3,3,-1
